Cycles: 1000; Nodes: 10
Node: 0; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 12.705438; Norm Diff Percent: 1.270544
Node: 1; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 12.823078; Norm Diff Percent: 1.282308
Node: 2; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 11.247785; Norm Diff Percent: 1.124779
Node: 3; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 11.592841; Norm Diff Percent: 1.159284
Node: 4; Time: 0; Accuracy: 0.073333; Norm Diff Matrix: 10.826080; Norm Diff Percent: 1.082608
Node: 5; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 12.126210; Norm Diff Percent: 1.212621
Node: 6; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 11.454788; Norm Diff Percent: 1.145479
Node: 7; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 12.038369; Norm Diff Percent: 1.203837
Node: 8; Time: 0; Accuracy: 0.333333; Norm Diff Matrix: 12.276720; Norm Diff Percent: 1.227672
Node: 9; Time: 0; Accuracy: 0.280000; Norm Diff Matrix: 10.474393; Norm Diff Percent: 1.047439
Node: 0; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 12.979836; Norm Diff Percent: 1.297984
Node: 1; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 12.900647; Norm Diff Percent: 1.290065
Node: 2; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 12.034053; Norm Diff Percent: 1.203405
Node: 3; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 10.810345; Norm Diff Percent: 1.081035
Node: 4; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 12.242674; Norm Diff Percent: 1.224267
Node: 5; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 11.871304; Norm Diff Percent: 1.187130
Node: 6; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 12.988927; Norm Diff Percent: 1.298893
Node: 7; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 12.027038; Norm Diff Percent: 1.202704
Node: 8; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 12.090282; Norm Diff Percent: 1.209028
Node: 9; Time: 1; Accuracy: 0.333333; Norm Diff Matrix: 11.465456; Norm Diff Percent: 1.146546
Node: 0; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.569923; Norm Diff Percent: 1.356992
Node: 1; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.706429; Norm Diff Percent: 1.370643
Node: 2; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.532931; Norm Diff Percent: 1.353293
Node: 3; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.496745; Norm Diff Percent: 1.349675
Node: 4; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.606516; Norm Diff Percent: 1.360652
Node: 5; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.438584; Norm Diff Percent: 1.343858
Node: 6; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.531794; Norm Diff Percent: 1.353179
Node: 7; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.513021; Norm Diff Percent: 1.351302
Node: 8; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.709184; Norm Diff Percent: 1.370918
Node: 9; Time: 2; Accuracy: 0.333333; Norm Diff Matrix: 13.599939; Norm Diff Percent: 1.359994
Node: 0; Time: 3; Accuracy: 0.333333; Norm Diff Matrix: 12.379319; Norm Diff Percent: 1.237932
Node: 1; Time: 3; Accuracy: 0.333333; Norm Diff Matrix: 12.207369; Norm Diff Percent: 1.220737
Node: 2; Time: 3; Accuracy: 0.440000; Norm Diff Matrix: 12.426171; Norm Diff Percent: 1.242617
Node: 3; Time: 3; Accuracy: 0.406667; Norm Diff Matrix: 12.196153; Norm Diff Percent: 1.219615
Node: 4; Time: 3; Accuracy: 0.353333; Norm Diff Matrix: 12.194270; Norm Diff Percent: 1.219427
Node: 5; Time: 3; Accuracy: 0.333333; Norm Diff Matrix: 12.709846; Norm Diff Percent: 1.270985
Node: 6; Time: 3; Accuracy: 0.333333; Norm Diff Matrix: 12.481280; Norm Diff Percent: 1.248128
Node: 7; Time: 3; Accuracy: 0.666667; Norm Diff Matrix: 12.442218; Norm Diff Percent: 1.244222
Node: 8; Time: 3; Accuracy: 0.333333; Norm Diff Matrix: 12.020116; Norm Diff Percent: 1.202012
Node: 9; Time: 3; Accuracy: 0.333333; Norm Diff Matrix: 12.026946; Norm Diff Percent: 1.202695
Node: 0; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 12.353231; Norm Diff Percent: 1.235323
Node: 1; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 12.784992; Norm Diff Percent: 1.278499
Node: 2; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 11.980930; Norm Diff Percent: 1.198093
Node: 3; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 12.511634; Norm Diff Percent: 1.251163
Node: 4; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 10.463046; Norm Diff Percent: 1.046305
Node: 5; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 12.239909; Norm Diff Percent: 1.223991
Node: 6; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 12.100595; Norm Diff Percent: 1.210059
Node: 7; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 11.494039; Norm Diff Percent: 1.149404
Node: 8; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 12.029547; Norm Diff Percent: 1.202955
Node: 9; Time: 4; Accuracy: 0.333333; Norm Diff Matrix: 11.525410; Norm Diff Percent: 1.152541
Node: 0; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 11.438175; Norm Diff Percent: 1.143817
Node: 1; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 11.301033; Norm Diff Percent: 1.130103
Node: 2; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 10.133612; Norm Diff Percent: 1.013361
Node: 3; Time: 5; Accuracy: 0.666667; Norm Diff Matrix: 7.878838; Norm Diff Percent: 0.787884
Node: 4; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 8.748841; Norm Diff Percent: 0.874884
Node: 5; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 9.873580; Norm Diff Percent: 0.987358
Node: 6; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 11.437215; Norm Diff Percent: 1.143722
Node: 7; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 9.915189; Norm Diff Percent: 0.991519
Node: 8; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 8.131918; Norm Diff Percent: 0.813192
Node: 9; Time: 5; Accuracy: 0.333333; Norm Diff Matrix: 7.409985; Norm Diff Percent: 0.740998
Node: 0; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 12.182816; Norm Diff Percent: 1.218282
Node: 1; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 12.787012; Norm Diff Percent: 1.278701
Node: 2; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 12.301981; Norm Diff Percent: 1.230198
Node: 3; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 11.589180; Norm Diff Percent: 1.158918
Node: 4; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 11.995546; Norm Diff Percent: 1.199555
Node: 5; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 11.888072; Norm Diff Percent: 1.188807
Node: 6; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 12.712277; Norm Diff Percent: 1.271228
Node: 7; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 12.044146; Norm Diff Percent: 1.204415
Node: 8; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 12.410472; Norm Diff Percent: 1.241047
Node: 9; Time: 6; Accuracy: 0.333333; Norm Diff Matrix: 11.763386; Norm Diff Percent: 1.176339
Node: 0; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 13.045337; Norm Diff Percent: 1.304534
Node: 1; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.717921; Norm Diff Percent: 1.271792
Node: 2; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.877287; Norm Diff Percent: 1.287729
Node: 3; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.793383; Norm Diff Percent: 1.279338
Node: 4; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.853825; Norm Diff Percent: 1.285383
Node: 5; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.778308; Norm Diff Percent: 1.277831
Node: 6; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.792632; Norm Diff Percent: 1.279263
Node: 7; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.909009; Norm Diff Percent: 1.290901
Node: 8; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.718929; Norm Diff Percent: 1.271893
Node: 9; Time: 7; Accuracy: 0.333333; Norm Diff Matrix: 12.863201; Norm Diff Percent: 1.286320
Node: 0; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.524054; Norm Diff Percent: 1.352405
Node: 1; Time: 8; Accuracy: 0.666667; Norm Diff Matrix: 13.577782; Norm Diff Percent: 1.357778
Node: 2; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.258306; Norm Diff Percent: 1.325831
Node: 3; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.514966; Norm Diff Percent: 1.351497
Node: 4; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.355376; Norm Diff Percent: 1.335538
Node: 5; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.382651; Norm Diff Percent: 1.338265
Node: 6; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.381309; Norm Diff Percent: 1.338131
Node: 7; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.257372; Norm Diff Percent: 1.325737
Node: 8; Time: 8; Accuracy: 0.666667; Norm Diff Matrix: 13.572597; Norm Diff Percent: 1.357260
Node: 9; Time: 8; Accuracy: 0.333333; Norm Diff Matrix: 13.442952; Norm Diff Percent: 1.344295
Node: 0; Time: 9; Accuracy: 0.333333; Norm Diff Matrix: 13.135579; Norm Diff Percent: 1.313558
Node: 1; Time: 9; Accuracy: 0.333333; Norm Diff Matrix: 13.222020; Norm Diff Percent: 1.322202
Node: 2; Time: 9; Accuracy: 0.333333; Norm Diff Matrix: 12.986488; Norm Diff Percent: 1.298649
Node: 3; Time: 9; Accuracy: 0.333333; Norm Diff Matrix: 13.048057; Norm Diff Percent: 1.304806
